correlation,k1,k2,top_X_percent,probability
-0.1,50,3,0.01,0.0012
-0.1,50,3,0.02,0.0146
-0.1,50,3,0.03,0.0486
-0.1,50,3,0.04,0.1069
-0.1,50,3,0.05,0.1816
-0.1,50,3,0.060000000000000005,0.2752
-0.1,50,3,0.06999999999999999,0.3769
-0.1,50,3,0.08,0.4702
-0.1,50,3,0.09,0.561
-0.1,50,3,0.09999999999999999,0.6456
-0.1,50,3,0.11,0.7182
-0.1,50,3,0.12,0.7779
-0.1,50,3,0.13,0.8348
-0.1,50,3,0.14,0.8783
-0.1,50,4,0.01,0.0
-0.1,50,4,0.02,0.0017
-0.1,50,4,0.03,0.0095
-0.1,50,4,0.04,0.0286
-0.1,50,4,0.05,0.0572
-0.1,50,4,0.060000000000000005,0.109
-0.1,50,4,0.06999999999999999,0.1739
-0.1,50,4,0.08,0.2442
-0.1,50,4,0.09,0.3287
-0.1,50,4,0.09999999999999999,0.4152
-0.1,50,4,0.11,0.5019
-0.1,50,4,0.12,0.5821
-0.1,50,4,0.13,0.6606
-0.1,50,4,0.14,0.7333
-0.1,50,5,0.01,0.0
-0.1,50,5,0.02,0.0001
-0.1,50,5,0.03,0.0011
-0.1,50,5,0.04,0.005
-0.1,50,5,0.05,0.0156
-0.1,50,5,0.060000000000000005,0.0339
-0.1,50,5,0.06999999999999999,0.0633
-0.1,50,5,0.08,0.1068
-0.1,50,5,0.09,0.1624
-0.1,50,5,0.09999999999999999,0.2246
-0.1,50,5,0.11,0.3021
-0.1,50,5,0.12,0.3852
-0.1,50,5,0.13,0.4686
-0.1,50,5,0.14,0.5477
-0.1,50,6,0.01,0.0
-0.1,50,6,0.02,0.0
-0.1,50,6,0.03,0.0
-0.1,50,6,0.04,0.0003
-0.1,50,6,0.05,0.0031
-0.1,50,6,0.060000000000000005,0.0099
-0.1,50,6,0.06999999999999999,0.0224
-0.1,50,6,0.08,0.0393
-0.1,50,6,0.09,0.0695
-0.1,50,6,0.09999999999999999,0.1086
-0.1,50,6,0.11,0.1585
-0.1,50,6,0.12,0.2178
-0.1,50,6,0.13,0.2872
-0.1,50,6,0.14,0.3635
-0.1,50,7,0.01,0.0
-0.1,50,7,0.02,0.0
-0.1,50,7,0.03,0.0
-0.1,50,7,0.04,0.0
-0.1,50,7,0.05,0.0004
-0.1,50,7,0.060000000000000005,0.0015
-0.1,50,7,0.06999999999999999,0.0061
-0.1,50,7,0.08,0.0123
-0.1,50,7,0.09,0.023
-0.1,50,7,0.09999999999999999,0.0419
-0.1,50,7,0.11,0.0688
-0.1,50,7,0.12,0.1053
-0.1,50,7,0.13,0.1543
-0.1,50,7,0.14,0.213
-0.1,50,8,0.01,0.0
-0.1,50,8,0.02,0.0
-0.1,50,8,0.03,0.0
-0.1,50,8,0.04,0.0
-0.1,50,8,0.05,0.0
-0.1,50,8,0.060000000000000005,0.0003
-0.1,50,8,0.06999999999999999,0.001
-0.1,50,8,0.08,0.0032
-0.1,50,8,0.09,0.0077
-0.1,50,8,0.09999999999999999,0.0146
