correlation,k1,k2,top_X_percent,probability
-0.1,50,1,0.01,0.2183
-0.1,50,1,0.02,0.418
-0.1,50,1,0.03,0.5739
-0.1,50,1,0.04,0.7004
-0.1,50,1,0.05,0.7857
-0.1,50,1,0.060000000000000005,0.8546
-0.1,50,1,0.06999999999999999,0.9008
-0.1,50,1,0.08,0.9307
-0.1,50,1,0.09,0.9569
-0.1,50,1,0.09999999999999999,0.9717
-0.1,50,2,0.01,0.024
-0.1,50,2,0.02,0.1006
-0.1,50,2,0.03,0.2096
-0.1,50,2,0.04,0.3296
-0.1,50,2,0.05,0.4503
-0.1,50,2,0.060000000000000005,0.5652
-0.1,50,2,0.06999999999999999,0.6649
-0.1,50,2,0.08,0.7468
-0.1,50,2,0.09,0.8115
-0.1,50,2,0.09999999999999999,0.8629
-0.1,50,3,0.01,0.0018
-0.1,50,3,0.02,0.0167
-0.1,50,3,0.03,0.0542
-0.1,50,3,0.04,0.1159
-0.1,50,3,0.05,0.1968
-0.1,50,3,0.060000000000000005,0.2888
-0.1,50,3,0.06999999999999999,0.3934
-0.1,50,3,0.08,0.4875
-0.1,50,3,0.09,0.5839
-0.1,50,3,0.09999999999999999,0.6625
-0.1,50,4,0.01,0.0001
-0.1,50,4,0.02,0.0019
-0.1,50,4,0.03,0.0092
-0.1,50,4,0.04,0.0295
-0.1,50,4,0.05,0.0673
-0.1,50,4,0.060000000000000005,0.1234
-0.1,50,4,0.06999999999999999,0.193
-0.1,50,4,0.08,0.265
-0.1,50,4,0.09,0.3522
-0.1,50,4,0.09999999999999999,0.4379
-0.1,50,5,0.01,0.0
-0.1,50,5,0.02,0.0004
-0.1,50,5,0.03,0.001
-0.1,50,5,0.04,0.005
-0.1,50,5,0.05,0.0152
-0.1,50,5,0.060000000000000005,0.0389
-0.1,50,5,0.06999999999999999,0.0724
-0.1,50,5,0.08,0.1173
-0.1,50,5,0.09,0.1794
-0.1,50,5,0.09999999999999999,0.2509
-0.1,50,6,0.01,0.0
-0.1,50,6,0.02,0.0
-0.1,50,6,0.03,0.0002
-0.1,50,6,0.04,0.0014
-0.1,50,6,0.05,0.0041
-0.1,50,6,0.060000000000000005,0.0102
-0.1,50,6,0.06999999999999999,0.0257
-0.1,50,6,0.08,0.045
-0.1,50,6,0.09,0.0783
-0.1,50,6,0.09999999999999999,0.1205
-0.1,150,1,0.01,0.5794
-0.1,150,1,0.02,0.8517
-0.1,150,1,0.03,0.9479
-0.1,150,1,0.04,0.9821
-0.1,150,1,0.05,0.9954
-0.1,150,1,0.060000000000000005,0.9987
-0.1,150,1,0.06999999999999999,0.9997
-0.1,150,1,0.08,1.0
-0.1,150,1,0.09,1.0
-0.1,150,1,0.09999999999999999,1.0
-0.1,150,2,0.01,0.2037
-0.1,150,2,0.02,0.5581
-0.1,150,2,0.03,0.7913
-0.1,150,2,0.04,0.9136
-0.1,150,2,0.05,0.9645
-0.1,150,2,0.060000000000000005,0.9898
-0.1,150,2,0.06999999999999999,0.9965
-0.1,150,2,0.08,0.9989
-0.1,150,2,0.09,0.9996
-0.1,150,2,0.09999999999999999,0.9998
-0.1,150,3,0.01,0.0488
-0.1,150,3,0.02,0.28
-0.1,150,3,0.03,0.5588
-0.1,150,3,0.04,0.7754
-0.1,150,3,0.05,0.8891
-0.1,150,3,0.060000000000000005,0.9577
-0.1,150,3,0.06999999999999999,0.9846
-0.1,150,3,0.08,0.994
-0.1,150,3,0.09,0.9979
-0.1,150,3,0.09999999999999999,0.9994
-0.1,150,4,0.01,0.0093
-0.1,150,4,0.02,0.1107
-0.1,150,4,0.03,0.3249
-0.1,150,4,0.04,0.5694
-0.1,150,4,0.05,0.7574
-0.1,150,4,0.060000000000000005,0.8802
-0.1,150,4,0.06999999999999999,0.9499
-0.1,150,4,0.08,0.9777
-0.1,150,4,0.09,0.9917
-0.1,150,4,0.09999999999999999,0.9962
-0.1,150,5,0.01,0.0009
-0.1,150,5,0.02,0.0357
-0.1,150,5,0.03,0.1588
-0.1,150,5,0.04,0.3698
-0.1,150,5,0.05,0.5817
-0.1,150,5,0.060000000000000005,0.7631
-0.1,150,5,0.06999999999999999,0.8786
-0.1,150,5,0.08,0.9396
-0.1,150,5,0.09,0.9739
-0.1,150,5,0.09999999999999999,0.9899
-0.1,150,6,0.01,0.0001
-0.1,150,6,0.02,0.0096
-0.1,150,6,0.03,0.066
-0.1,150,6,0.04,0.2093
-0.1,150,6,0.05,0.3975
-0.1,150,6,0.060000000000000005,0.6048
-0.1,150,6,0.06999999999999999,0.7654
-0.1,150,6,0.08,0.8723
-0.1,150,6,0.09,0.9395
-0.1,150,6,0.09999999999999999,0.9707
-0.1,250,1,0.01,0.803
-0.1,250,1,0.02,0.9708
-0.1,250,1,0.03,0.9957
-0.1,250,1,0.04,0.9991
-0.1,250,1,0.05,0.9998
-0.1,250,1,0.060000000000000005,1.0
-0.1,250,1,0.06999999999999999,1.0
-0.1,250,1,0.08,1.0
-0.1,250,1,0.09,1.0
-0.1,250,1,0.09999999999999999,1.0
-0.1,250,2,0.01,0.4714
-0.1,250,2,0.02,0.8651
-0.1,250,2,0.03,0.971
-0.1,250,2,0.04,0.9944
-0.1,250,2,0.05,0.9992
-0.1,250,2,0.060000000000000005,0.9998
-0.1,250,2,0.06999999999999999,1.0
-0.1,250,2,0.08,1.0
-0.1,250,2,0.09,1.0
-0.1,250,2,0.09999999999999999,1.0
-0.1,250,3,0.01,0.1985
